survived,class,gender,age,fare
no,3,male,teen,low
no,3,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,1,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
yes,1,male,adult,low
yes,3,male,child,low
no,3,male,adult,low
no,1,male,adult,low
no,3,male,elderly,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,teen,low
no,3,male,teen,low
yes,3,female,adult,low
no,3,male,adult,low
yes,3,male,adult,low
yes,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,female,adult,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
yes,3,female,teen,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,adult,low
no,3,male,adult,low
no,3,female,teen,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
no,3,female,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
yes,3,female,adult,low
yes,3,male,adult,low
yes,3,female,adult,low
no,3,female,teen,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,teen,low
no,3,female,adult,low
no,3,male,adult,low
yes,3,female,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,elderly,low
no,3,male,elderly,low
yes,3,female,teen,low
yes,3,female,adult,low
yes,3,female,adult,low
yes,3,male,adult,low
no,3,male,teen,low
no,3,male,teen,low
no,3,female,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,elderly,low
yes,3,female,teen,low
yes,3,male,adult,low
yes,3,female,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
yes,3,male,adult,low
no,3,male,adult,low
yes,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
yes,3,female,teen,low
yes,3,female,adult,low
yes,3,female,adult,low
yes,3,male,adult,low
no,3,male,adult,low
no,3,female,teen,low
no,3,male,adult,low
no,3,female,adult,low
yes,3,female,teen,low
no,3,male,adult,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,teen,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,male,adult,low
no,3,female,adult,low
no,3,male,adult,low
no,3,male,adult,low
